Date,Close,High,Low,Open,Volume,Year,Month,Day,MA5,MA10,MA20,RSI,MACD,VWAP,SMA,Std_dev,Upper_band,Lower_band,Relative_Performance,ROC,ATR,Close_prev,Open_prev,High_prev,Low_prev
2024-01-31,107.94634246826172,110.09812468509952,107.86914657265885,109.97268687609922,5501400.0,2024,1,31,107.99458160400391,105.9508674621582,107.99120330810547,52.11013344746126,-1.0886452593985467,107.9243363852229,107.71523513793946,3.3166946918699245,114.34862452167931,101.0818457541996,22.709553324553454,-1.9114273702938944,2.1069847203954493,110.04986572265625,107.30947074774595,110.32004395360417,106.87525678540888
2024-02-01,107.47352600097656,109.24899483825787,106.91387414741517,108.39985468754708,5255200.0,2024,2,1,108.41914978027344,106.36578674316407,107.71523513793946,51.14047373049596,-1.0119298406806507,107.90401411845994,107.30272941589355,2.7292707555272355,112.76127092694803,101.84418790483907,22.31798182199456,-0.4380106416520535,2.184179046269487,107.94634246826172,109.97268687609922,110.09812468509952,107.86914657265885
2024-02-02,106.74981689453125,108.02351959019835,105.84279098333825,107.7436973813592,4609600.0,2024,2,2,108.28984985351562,106.7951789855957,107.30272941589355,46.798294114334844,-0.9980249844707458,107.86011149659636,107.02048797607422,2.4528646472831994,111.92621727064062,102.11475868150782,21.936758273590094,-0.6733836074557908,2.176596909042386,107.47352600097656,108.39985468754708,109.24899483825787,106.91387414741517
2024-02-05,106.11297607421875,106.97176013252114,105.45682571218715,106.38315433591315,4520400.0,2024,2,5,107.98107147216797,107.06149749755859,107.02048797607422,54.647130587762064,-1.0265594789811274,107.79728458658522,106.70399208068848,2.099273715305167,110.90253951129881,102.50544465007815,21.885578363658826,-0.5965732203004115,2.0504670990781864,106.74981689453125,107.7436973813592,108.02351959019835,105.84279098333825
2024-02-06,107.60860443115234,108.50598640723702,106.33490169365847,106.99105203490109,4777100.0,2024,2,6,107.6665054321289,107.2457992553711,106.70399208068848,63.35365706969322,-0.9179074963038687,107.79037686814,106.56021728515626,1.9173410001457356,110.39489928544772,102.72553528486479,22.129800086018385,1.409467920198093,2.0794145560624124,106.11297607421875,106.38315433591315,106.97176013252114,105.45682571218715
2024-02-07,108.38055419921875,109.00775795452948,107.5410654164054,107.80159971808794,6100700.0,2024,2,7,107.17825317382812,107.58641738891602,106.56021728515626,68.0268014531469,-0.7607407762830434,107.81673783966977,106.53898963928222,1.8933792898844517,110.32574821905112,102.75223105951332,22.104196158314068,0.7173680693538742,2.060116559335507,107.60860443115234,106.99105203490109,108.50598640723702,106.33490169365847
2024-02-08,109.90514373779297,111.24639115366809,108.64108485671917,109.1428508228601,7715500.0,2024,2,8,107.26509552001953,107.84212265014648,106.53898963928222,69.33938484727688,-0.5073153683316178,107.92840185934942,106.67022018432617,2.033269282834131,110.73675874999444,102.6036816186579,22.405239074560683,1.406700260797522,2.126972546057054,108.38055419921875,107.80159971808794,109.00775795452948,107.5410654164054
2024-02-09,107.26124572753906,110.29111470038623,107.12614922899273,109.99198244462725,5974000.0,2024,2,9,107.75141906738281,108.02063446044922,106.67022018432617,58.544709600087174,-0.5138905695485647,107.9018796663162,106.67793998718261,2.0353063849443416,110.7485527570713,102.60732721729393,21.740605421356786,-2.4056180814990835,2.257238130584178,109.90514373779297,109.1428508228601,111.24639115366809,108.64108485671917
2024-02-12,107.20333862304688,108.2068631221181,106.6533307820161,107.36737437031097,5802000.0,2024,2,12,107.85370483398438,107.91738815307617,106.67793998718261,58.57693106113071,-0.5178051478455785,107.87591193055545,106.64899215698242,2.0228517288925327,110.69469561476748,102.60328869919735,21.738409904456148,-0.053986977402142866,2.2462106642052353,107.26124572753906,109.99198244462725,110.29111470038623,107.12614922899273
2024-02-13,105.91999053955078,108.00423554686327,105.0226084994811,107.20334469524936,6321100.0,2024,2,13,108.07177734375,107.86914138793945,106.64899215698242,50.28120429346282,-0.6173465574700288,107.79978009118733,106.70351066589356,1.9855867155672333,110.67468409702802,102.7323372347591,21.778128693639033,-1.1971157801424992,2.319269643386506,107.20333862304688,107.36737437031097,108.2068631221181,106.6533307820161
