Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,SBUX,SBUX,SBUX,SBUX,SBUX,,,
Date,,,,,,,,
2023-01-03,95.72798156738281,96.05077401581602,94.43679728695898,95.47163957047833,6607700,2023,1,3
2023-01-04,99.17430877685547,99.43065079602836,97.36095880585027,97.49387420714507,8166600,2023,1,4
2023-01-05,99.14583587646484,99.7819320969155,98.2533976163213,99.20279755490917,5575100,2023,1,5
2023-01-06,101.29148864746094,101.58580033054749,99.69649635253714,100.04776971793795,9644100,2023,1,6
2023-01-09,99.44014739990234,101.28198559604706,99.14583573722437,101.13007812927994,10124800,2023,1,9
2023-01-10,100.63639831542969,101.04464059832993,98.89899460610907,99.07938292096061,4183600,2023,1,10
2023-01-11,100.92122650146484,101.05414192674378,99.55408813477014,100.45601526964114,5634400,2023,1,11
2023-01-12,100.49398040771484,101.05413012886315,99.84838817029707,100.91171869173415,4882000,2023,1,12
2023-01-13,101.80416107177734,101.87061877935699,99.75345367786777,99.75345367786777,5529700,2023,1,13
2023-01-17,101.34844207763672,102.15543056588535,100.93070379242005,101.53831916545525,7477200,2023,1,17
2023-01-18,99.6869888305664,102.0320077267542,99.60154631694645,101.718704023455,5725800,2023,1,18
2023-01-19,98.98442840576172,100.35155923689288,98.9654363528685,99.6869822525476,5115800,2023,1,19
2023-01-20,99.7249755859375,99.87687581744231,98.63316415131753,99.11736017322409,6543500,2023,1,20
2023-01-23,100.83576202392578,101.48135424254887,99.11735053107671,99.72496588468124,6320500,2023,1,23
2023-01-24,101.24400329589844,101.46236845682053,100.07624549201951,101.01614935132264,5517200,2023,1,24
2023-01-25,101.56681060791016,101.71871083452118,100.54145691573514,100.69335714234616,5416900,2023,1,25
2023-01-26,103.2567367553711,103.29471362116232,101.64275255430343,101.87061374905078,6324100,2023,1,26
2023-01-27,103.50357818603516,104.20613935626312,102.85798593763577,103.23774736199071,6851100,2023,1,27
2023-01-30,102.91494750976562,103.36116660826481,101.98453244870922,102.7820321072356,6880700,2023,1,30
2023-01-31,103.61751556396484,103.6270115921152,102.06050014127732,102.78204617041332,5816300,2023,1,31
2023-02-01,104.42449951171875,105.17452634888552,102.51621080843489,103.45611474015283,5841200,2023,2,1
2023-02-02,103.62699127197266,105.22198325115357,102.53518003588437,104.4719565279859,9852900,2023,2,2
2023-02-03,99.02239990234375,101.05411485107085,97.82615415199889,99.28823068167694,15200500,2023,2,3
2023-02-06,99.70597839355469,100.79778977193001,98.07301658310134,98.73759364297499,6392200,2023,2,6
2023-02-07,101.42440032958984,101.94656596603187,99.26925834574847,99.52560039340737,6207500,2023,2,7
2023-02-08,100.92122650146484,101.14908048146482,100.30411503075696,100.94021131507009,5557500,2023,2,8
2023-02-09,101.18838500976562,101.72271077056601,100.75900985514316,100.88305496364505,5608400,2023,2,9
2023-02-10,102.1806869506836,102.34289920069763,100.63495700772343,100.68266049802286,6298600,2023,2,10
2023-02-13,103.5451431274414,103.93635110006534,102.36199015791041,102.52419514574082,5192400,2023,2,13
2023-02-14,103.02991485595703,103.49744992369449,101.80858732120393,102.98220407613685,5109400,2023,2,14
2023-02-15,104.00314331054688,104.00314331054688,102.34291168499028,102.57190739342926,4059100,2023,2,15
2023-02-16,102.61006164550781,104.09854448251171,102.48602383563795,102.81997738501173,4596800,2023,2,16
2023-02-17,102.19023895263672,102.53373614142343,101.36012681277055,101.84674176385002,6876400,2023,2,17
