Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,CAT,CAT,CAT,CAT,CAT,,,
Date,,,,,,,,
2023-01-03,229.5510711669922,231.28076439169797,226.97572505370633,231.28076439169797,2651900,2023,1,3
2023-01-04,231.93418884277344,232.67412220326017,229.23392988207362,230.6273002216684,2387900,2023,1,4
2023-01-05,230.89637756347656,232.1071656809075,228.28260017035507,231.13661434841134,2355900,2023,1,5
2023-01-06,239.14129638671875,240.15029377638174,232.77983126369682,233.40444101483197,3945100,2023,1,6
2023-01-09,236.98878479003906,241.16891081676923,236.39300224074412,239.28544792448028,3417100,2023,1,9
2023-01-10,240.7268524169922,241.04396671911027,236.82540954232766,237.30588309167825,3011900,2023,1,10
2023-01-11,240.93826293945312,242.05296509760953,237.47886216768066,241.66859212170897,2402400,2023,1,11
2023-01-12,245.1088104248047,247.32859612054673,241.20735245874428,242.1586954695869,3881500,2023,1,12
2023-01-13,248.36636352539062,248.48167247796343,245.26250869457107,246.77118792132197,3067800,2023,1,13
2023-01-17,246.2523193359375,250.32672575671108,245.94480921812618,248.75075839726233,4100100,2023,1,17
2023-01-18,242.9466552734375,248.79881965147516,242.2259449412785,247.2324711707917,3361400,2023,1,18
2023-01-19,237.27896118164062,242.58937536881874,235.8789458424933,241.84591325742522,4885200,2023,1,19
2023-01-20,241.10250854492188,241.30526159938935,236.32312314443706,238.36039208244165,2964100,2023,1,20
2023-01-23,243.98941040039062,244.93562560674116,240.67764981175503,242.1066299831767,2610200,2023,1,23
2023-01-24,248.73013305664062,250.12049841209864,241.1410825015957,244.16319567747834,3505100,2023,1,24
2023-01-25,249.5315704345703,250.25571791970415,245.55359163073695,245.75634467619616,2424900,2023,1,25
2023-01-26,253.084716796875,253.2199051392652,248.0350137965563,251.03779792826947,2677200,2023,1,26
2023-01-27,255.42132568359375,256.86962074728854,253.08473001595186,253.41300669451275,2783000,2023,1,27
2023-01-30,252.486083984375,255.86543883693832,252.30263093512784,254.26265557098912,3426900,2023,1,30
2023-01-31,243.59353637695312,248.51775958160803,237.91623048099078,248.14118877031962,10992100,2023,1,31
