Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,
Date,,,,,,,,
2023-01-03,88.69595336914062,90.61677037760805,88.09880220510901,89.16371064442977,28131200,2023,1,3
2023-01-04,87.66089630126953,90.2186673282775,86.85474530999315,89.92009176216149,34854800,2023,1,4
2023-01-05,85.78984832763672,87.15333245755251,85.49128031493731,87.0538097866527,27194400,2023,1,5
2023-01-06,86.92440795898438,87.2727486345716,84.45621275179472,86.37702957023193,41381500,2023,1,6
2023-01-09,87.6011734008789,89.62152048330157,87.44193867309151,87.93955953620126,29003900,2023,1,9
2023-01-10,87.99927520751953,88.24808564924614,85.42160267591623,85.5708904595706,30467800,2023,1,10
2023-01-11,91.08451843261719,91.16413959217385,88.58646719453307,88.75565646377223,26862000,2023,1,11
2023-01-12,90.69638061523438,91.432864998952,89.32294969329632,91.0447213124675,30258100,2023,1,12
2023-01-13,91.68167877197266,91.75134539532985,89.70114209221775,90.41771741423032,26329200,2023,1,13
2023-01-17,90.85562896728516,91.81106022758811,89.62153120519707,91.62196184719421,32602400,2023,1,17
2023-01-18,90.68643951416016,92.35844611498095,90.2087200883145,91.70158285357975,29116700,2023,1,18
2023-01-19,92.60726165771484,93.16459469087474,90.19877049350299,90.2883462127426,37000400,2023,1,19
2023-01-20,97.55359649658203,97.83227057478473,94.56787113938321,94.64749230458399,63191100,2023,1,20
2023-01-23,99.315185546875,99.56399601043773,97.03608078946915,97.48393658664499,40005100,2023,1,23
2023-01-24,97.23512268066406,99.13603819966976,96.73750177115588,97.63322092688912,33078500,2023,1,24
2023-01-25,94.76692199707031,95.70245168515892,93.31386993258523,95.1152550959037,42330000,2023,1,25
2023-01-26,97.05597686767578,97.10574199484742,94.92616002591807,96.04083357396856,30114000,2023,1,26
2023-01-27,98.89718627929688,99.84266300827183,96.84698288610231,96.84698288610231,33879800,2023,1,27
2023-01-30,96.47874450683594,97.82231944586147,95.94131301260722,97.01617600106465,27226200,2023,1,30
2023-01-31,98.36969757080078,98.40950815466127,96.35931244094722,96.40907756904596,29870700,2023,1,31
2023-02-01,99.95213317871094,100.70851906446003,97.11569559851715,98.24031608663826,35531100,2023,2,1
2023-02-02,107.22734069824219,107.33681789479918,105.10747856990469,105.29657692633798,69883800,2023,2,2
2023-02-03,104.28143310546875,107.29701450167059,102.09190421385664,102.44023732028235,65309300,2023,2,3
2023-02-06,102.4103775024414,103.8634295449767,101.3952266662137,101.91275662788445,31999600,2023,2,6
