Price,Close,High,Low,Open,Volume,Year,Month,Day
Ticker,GS,GS,GS,GS,GS,,,
Date,,,,,,,,
2023-02-15,352.5106506347656,352.5389000585826,346.7757876961674,347.2372045311676,1687200,2023,2,15
2023-02-16,348.61212158203125,352.4259378714229,347.2937383698232,349.13003731684717,1947800,2023,2,16
2023-02-17,347.01116943359375,349.4218824500246,345.4667911403983,346.5873993868602,1857300,2023,2,17
2023-02-21,340.0615234375,345.33496891980525,339.0915883500984,345.33496891980525,2403000,2023,2,21
2023-02-22,339.844970703125,341.8319137630052,337.1611606739212,340.5418089344813,2203800,2023,2,22
2023-02-23,342.3404235839844,346.4273360275781,338.63957698364857,342.02025389813235,1931400,2023,2,23
2023-02-24,342.6324157714844,343.8848453566288,338.5643258420686,339.16701860404396,2428600,2023,2,24
2023-02-27,344.2143859863281,348.70621660210736,343.253876881121,346.74752291561595,2842400,2023,2,27
2023-02-28,331.1437683105469,344.6663898104531,330.8424219915705,344.6569637573705,4945600,2023,2,28
2023-03-01,328.3743896484375,334.35897079749384,328.11829544529553,331.3714269961704,2717400,2023,3,1
2023-03-02,331.09637451171875,331.7412989050427,322.93039058470754,326.2498901279055,3259800,2023,3,2
2023-03-03,338.67431640625,339.31924081464354,331.5326512370438,332.5569701856592,2396200,2023,3,3
2023-03-06,338.6363830566406,340.35303631959755,335.48762244588653,339.5943050999861,1614200,2023,3,6
2023-03-07,328.232177734375,337.830300080965,327.80540220386064,337.21379829731245,2048500,2023,3,7
2023-03-08,331.2765808105469,331.65594640111857,327.36906023455396,328.3364468320726,1584600,2023,3,8
2023-03-09,324.4478759765625,336.01871432270855,323.4615023117094,331.19121711952835,3177800,2023,3,9
2023-03-10,310.7715759277344,322.3992895286835,309.21613931176864,321.39395764518974,4559700,2023,3,10
2023-03-13,299.23870849609375,309.29202822050536,298.318731622021,303.184174835223,5660700,2023,3,13
2023-03-14,305.53619384765625,309.54805627566475,302.5012404275054,308.0210715480176,3785900,2023,3,14
2023-03-15,296.08990478515625,296.39340886093544,288.7111319872574,294.74312353872466,6596700,2023,3,15
2023-03-16,298.84033203125,301.9037665002509,289.1948304128358,293.0644059503321,4399100,2023,3,16
2023-03-17,287.8860168457031,294.39222295654906,286.30212839523506,294.098212414732,6369800,2023,3,17
2023-03-20,293.56707763671875,296.0993945117292,290.465726806642,290.95889921561326,3963700,2023,3,20
